min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1183	132956	128554	132450	131227	290	5172	127199
1182	133032	128627	132524	131298	291	5177	127268
1181	133121	128711	132612	131386	292	5182	127351
1180	133197	128784	132688	131461	292	5186	127423
1179	133287	128871	132777	131549	292	5189	127509
1178	133374	128953	132863	131633	293	5193	127590
1177	133450	129024	132938	131708	293	5197	127661
1176	133527	129094	133012	131778	295	5204	127727
1175	133618	129178	133102	131867	295	5211	127810
1174	133692	129249	133176	131940	296	5213	127881
1173	133777	129326	133261	132025	296	5221	127958
1172	133863	129409	133347	132110	296	5225	128040
1171	133950	129490	133434	132196	297	5230	128121
1170	134048	129582	133531	132291	298	5238	128210
1169	134137	129671	133620	132379	298	5239	128298
1168	134230	129758	133713	132471	298	5246	128384
1167	134319	129844	133801	132558	298	5249	128469
1166	134402	129920	133882	132636	301	5257	128541
1165	134478	129993	133958	132711	301	5261	128613
1164	134563	130073	134041	132795	301	5266	128692
1163	134644	130151	134122	132876	301	5269	128770
1162	134729	130229	134205	132958	303	5277	128845
1161	134811	130309	134287	133038	303	5281	128923
1160	134886	130380	134361	133110	303	5286	128992
1159	134972	130458	134447	133195	303	5295	129069
1158	135063	130546	134537	133282	304	5301	129153
1157	135147	130625	134620	133366	305	5305	129232
1156	135242	130719	134715	133458	306	5307	129324
1155	135324	130798	134797	133540	306	5310	129403
1154	135397	130866	134869	133609	307	5315	129469
1153	135488	130953	134960	133700	307	5319	129556
1152	135573	131033	135044	133784	307	5323	129636
1151	135633	131090	135104	133844	307	5326	129693
1150	135728	131180	135197	133934	310	5329	129781
1149	135794	131244	135263	134000	310	5331	129845
1148	135881	131325	135348	134084	312	5335	129925
1147	135949	131392	135416	134152	312	5336	129992
1146	136017	131457	135483	134218	312	5339	130056
1145	136091	131526	135556	134289	312	5345	130123
1144	136178	131607	135642	134374	312	5351	130203
1143	136261	131686	135725	134457	312	5355	130282
1142	136340	131758	135803	134533	313	5364	130351
1141	136417	131827	135877	134608	315	5370	130419
1140	136491	131900	135951	134678	315	5375	130488
1139	136580	131986	136040	134767	315	5378	130574
1138	136669	132069	136129	134855	315	5385	130656
1137	136770	132165	136228	134952	315	5390	130750
1136	136855	132245	136311	135028	316	5401	130822
1135	136924	132312	136379	135095	316	5403	130888
1134	137005	132390	136457	135173	317	5404	130965
1133	137075	132453	136526	135241	317	5411	131027
1132	137163	132539	136614	135326	317	5416	131110
1131	137233	132607	136684	135394	317	5420	131176
1130	137330	132701	136781	135490	317	5424	131269
